NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
CARMONICA;ROCK ;;28/05/14;HTTPS://FACEBOOK.COM/CARMONICA;HTTPS://TWITTER.COM/CARMONICAROCK;WWW.CARMONICA.COM.AR;;HTTP://WWW.YOUTUBE.COM/WATCH?V=7BTJGRYAMWW;HTTP://WWW.YOUTUBE.COM/WATCH?V=7BTJGRYAMWW;SAN NICOLAS;6
EL OJO DEL AMO;ROCK ;;28/05/14;HTTPS://FACEBOOK.COM/EODAOFICIAL;HTTPS://TWITTER.COM/EODAOFICIAL;WWW.SOUNDCLOUD.COM/ELOJODELAMO;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MAT9E0A2KE0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZEV4264MCR8;BELGRANO;5
IWANIDO;INDIE ;;27/05/14;;HTTPS://TWITTER.COM/IWANIDOMUSIC;HTTPS://SOUNDCLOUD.COM/IWANIDOPSYCOPUNK , WWW.IWANIDO.COM.AR;ACELERADOR (2009) , HUMEDO & PROFUNDO (2005) , NO TOXICO (2000);HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZDZT5VH1JN8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=AVCYSXQL49Q;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FI7V6RNTKRC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=OKFRMUBLRGQ;BOEDO;5
HIPERIMPULSO;POP ;POP ROCK;27/05/14;HTTPS://FACEBOOK.COM/HIPERIMPULSO;HTTPS://TWITTER.COM/HIPERIMPULSO;;LOCURA POP (2013);HTTP://WWW.YOUTUBE.COM/WATCH?V=KDZB-3YEMIA , HTTP://WWW.YOUTUBE.COM/WATCH?V=MQSFMLQCV7Y;;NUÑEZ;3
CASACLUB;ROCK ;ROCK & ROLL;27/05/14;;HTTPS://TWITTER.COM/CASACLUBROCK;HTTP://WWW.ELSONAR.COM.AR/CASACLUBROCK , HTTPS://WWW.FACEBOOK.COM/CASACLUBROCKPAGE;;HTTP://WWW.YOUTUBE.COM/WATCH?V=VIFQN1LAJ3K , HTTP://WWW.YOUTUBE.COM/WATCH?V=L5TYHKBZQC0;HTTP://WWW.YOUTUBE.COM/WATCH?V=PQF-TG1UE_O , HTTP://WWW.YOUTUBE.COM/WATCH?V=KV1PHW5SDJ0;RETIRO;5
BREMEN;ROCK ;ROCK ALTERNATIVO;27/05/14;;;HTTPS://SOUNDCLOUD.COM/ESCUCHENBREMEN;BREMEN (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=EQPMGUK6AQ8;HTTPS://WWW.YOUTUBE.COM/WATCH?V=EQPMGUK6AQ8;NUÑEZ;4
CIELO ADENTRO;ROCK ;ROCK ALTERNATIVO;27/05/14;;;HTTP://CIELOADENTRO.BANDCAMP.COM/;EP (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=YVZKJVQOVNG;;PUERTO MADERO;4
CLOCKWORK;ROCK ;ROCK ALTERNATIVO;27/05/14;;HTTPS://TWITTER.COM/CLOCKWORKBANDA;HTTP://SOUNDCLOUD.COM/CLOCKWORKBANDA , HTTP://CLOCKWORKMUSIC.COM.AR/;UNO CON EL MAR (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=YIWV4_0X6CY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IPQILVEIT3M;VILLA DEL PARQUE;6
A.N.G.E.L.E.S.;ROCK ;ROCK POP;27/05/14;HTTPS://FACEBOOK.COM/PAGES/ANGELES/106031292181;HTTPS://TWITTER.COM/ANGELES_ROCK;HTTP://WWW.ANGELESROCK.COM;"""QUIEN TE ENTIENDE?"" EP (2013) , ""NO TE RINDAS"" EP (2011) , ""EL COMIENZO"" EP (2009)";HTTPS://WWW.YOUTUBE.COM/WATCH?V=MUNWKQLIY6A;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KK1QBAS0ZZW;AGRONOMIA;5
ELOY;ROCK ;ROCK POP;27/05/14;HTTPS://FACEBOOK.COM/ELOYROCKANDROLL;HTTPS://TWITTER.COM/ELOYROCKANDROLL;HTTPS://WWW.YOUTUBE.COM/USER/ELOYROCKANDROLL , HTTP://WWW.ELOYROCKANDROLL.COM.AR/;MERCADO DE AMOR (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=YGEZZC0HSCA;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MDIPGUIGAQM;BOEDO;4
SIGNOS;ROCK ;ROCK POP;27/05/14;HTTPS://FACEBOOK.COM/SIGNOS;;HTTPS://SOUNDCLOUD.COM/SIGNOSROCK , HTTPS://WWW.FACEBOOK.COM/STEREOSIGNOS;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DQD9SXBEUHY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=7P9DDOWVE4Q&FEATURE=YOUTU.BE;;CONSTITUCION;4
I GRIEGA;ROCK ;;27/05/14;HTTPS://FACEBOOK.COM/IGRIEGAROCK;HTTPS://TWITTER.COM/I_GRIEGA;WWW.IGRIEGAOFICIAL.COM.AR;SE HIZO PIEL (2013);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=G7E0EKX9MTG;SAN FRANCISCO;5
PEZONES CARDOZO;ROCK ;;27/05/14;;;HTTP://PEZONESCARDOZO.COM.AR/;OTRA GAMBETA AL DESTINO (2008) , EXPESO PEZONES (2004) , EL CAMINO DEL ENANO (2002) , SALIENDO DESPACIO (1999);HTTP://WWW.YOUTUBE.COM/WATCH?V=UZRWOT8AGJU;;MATADEROS;8
UN OJO SOLO;ROCK ;;27/05/14;HTTPS://FACEBOOK.COM/UNOJOSOLO;;WWW.UNOJOSOLO.COM.AR;;;;VILLA DEL PARQUE;4
SANTURRONES;TROPICAL / LATINO ;;27/05/14;HTTPS://FACEBOOK.COM/SANTURRONES;;WWW.SANTURRONES.COM;ARGENTINO BATUQUERO (2013);HTTP://WWW.YOUTUBE.COM/WATCH?V=YADED6E43UU , HTTP://WWW.YOUTUBE.COM/WATCH?V=N4RP4XDFHGY;HTTP://WWW.YOUTUBE.COM/WATCH?V=R_7QNTZWOC8 , HTTP://WWW.YOUTUBE.COM/WATCH?V=ZNIO_TH6K50;BALVANERA;7
CARLOS CORONEL;FOLKLORE;;26/05/14;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCJQBOOGDKVAAPLJ9KWHDBFA;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LHZRNWD1HSM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=-A4ICBLKLEQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=IQSGPVA3PV4;GENERAL RODRIGUEZ;1
SEBA ROBLE;INDIE ;;26/05/14;;HTTPS://TWITTER.COM/ALEJOSEBA;HTTPS://WWW.FACEBOOK.COM/ALEJOSEBA , HTTPS://SOUNDCLOUD.COM/SEBAROBLE;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JXMZXHITBIU;;MERLO;1
CRUNK SINATRA;POP;;26/05/14;;HTTPS://TWITTER.COM/CRUNKSINATRA;HTTPS://SOUNDCLOUD.COM/CRUNKSINATRA;CTRL+ALT+SUPR (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=BJQQEXGRP5A;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GEBLZEZY7NS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=4MKAOTK6UBU;VICENTE LOPEZ;2
LA ROQUE;POP ;;26/05/14;HTTPS://FACEBOOK.COM/LAROQUEBANDA;HTTPS://TWITTER.COM/LAROQUEBANDA;YOUTUBE.COM/LAROQUEBANDA;LA ROQUE (2013);HTTP://YOUTU.BE/9S11ETVEW7Y;HTTP://YOUTU.BE/9ZACMFGNNY0;BANFIELD;7
HACHALAHILACHA;PUNK ;PUNK POP;26/05/14;;HTTPS://TWITTER.COM/HACHALAHILACHA1;HTTP://HACHALAHILACHA.COM.AR/;HACHALAHILACHA (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=P9YLQHKVCFS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=P5NPXILO5UK;EZEIZA;3
IMPUNTUAL;ROCK ;ROCK & ROLL;26/05/14;;;HTTPS://WWW.FACEBOOK.COM/IMPUNTUALROCK;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=9G5JVBD3UTS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=SXMKK8HGMNO;BOULOGNE;5
ROMPE;ROCK ;ROCK ALTERNATIVO;26/05/14;HTTPS://FACEBOOK.COM/ROMPE;HTTPS://TWITTER.COM/ROMPEROCK;HTTPS://WWW.FACEBOOK.COM/ROMPE.ROCK.3 , HTTP://WWW.YOUTUBE.COM/USER/ROMPEMZA;CONECTADOS (2012);HTTP://WWW.YOUTUBE.COM/WATCH?V=ZR4E0LMED70 , HTTP://WWW.YOUTUBE.COM/WATCH?V=JCOHK1ELUXW;HTTP://WWW.YOUTUBE.COM/WATCH?V=OTQ7EK8YRL8;GODOY CRUZ, MENDOZA;5
ROMULITO;ROCK ;ROCK POP;26/05/14;;HTTPS://TWITTER.COM/ROMULITOOK;HTTP://WWW.ROMULITO.COM.AR/;UN LUGAR PARA ESCAPAR (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=YN9ULHBPN18 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=K2WVP4FE1HC;ROSARIO, SANTA FE;1
SINCAPOT;ROCK ;ROCK POP;26/05/14;HTTPS://FACEBOOK.COM/SINCAPOT;HTTPS://TWITTER.COM/SINCAPOT;HTTP://SINCAPOT.BANDCAMP.COM/ , HTTPS://SOUNDCLOUD.COM/SINCAPOT;SINCAPOT (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=AIAWCEWBSGY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=C-IND2LRJ8I;NUÑEZ;6
LOS CLOTARIOS;ROCK ;;26/05/14;HTTPS://FACEBOOK.COM/LOSCLOTARIOSROCK;;;LATIDOS (2014) , LOS CLOTARIOS (2010) , CLOTARIAMENTE (2005);HTTPS://WWW.YOUTUBE.COM/WATCH?V=G3LJCXR-0IO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RFDMQUHJD3U , HTTPS://WWW.YOUTUBE.COM/WATCH?V=PJGOYJVP75O;LONGCHAMPS / LLAVALLOL / CABALLITO;5
JUAN DE NADIE;FOLKLORE ;FOLKLORE FUSION;24/05/14;HTTPS://FACEBOOK.COM/PAGES/JUAN-DE-NADIE/254646461255923;HTTPS://TWITTER.COM/DENADIEJUAN;HTTP://JUANDENADIE.BANDCAMP.COM/;RELICARIO (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=CEOUKRIQUYI;BALVANERA;6
FACUNDO LIBERATORE Y EL PARALELO BIPOLAR;JAZZ ;LATIN JAZZ;24/05/14;;;;PIANO FORTE (2013) , DIFUSO (2010);HTTP://WWW.YOUTUBE.COM/WATCH?V=DCNGT8OPARW , HTTP://WWW.YOUTUBE.COM/WATCH?V=I8Q_RNRSDX0;HTTP://WWW.YOUTUBE.COM/WATCH?V=VIDPWVHEZZ0 , HTTP://WWW.YOUTUBE.COM/WATCH?V=NK1UIUII6IA;BARRACAS;2
INTO THE SEOL;METAL / HEAVY;;24/05/14;HTTPS://FACEBOOK.COM/INTOTHESEOL;;;;;HTTP://WWW.YOUTUBE.COM/WATCH?V=JJ_WMMNENAY&LIST=UUY7F8CIIRFQGNNTBQDRB4-A;AGRONOMIA;5
LAS CRÈME BRÛLEE;POP ;POP ROCK;24/05/14;HTTPS://FACEBOOK.COM/LASCREMEBRULEE;HTTPS://TWITTER.COM/LASCREMEBRULEE;HTTPS://BANDCAMP.COM/LASCREMEBRULEE;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=5KTAPJZK1US , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WCQWBU9WDKY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=TPG-SDREVEO;CHACARITA;5
CIPRES;ROCK ;ROCK ALTERNATIVO;24/05/14;;HTTPS://TWITTER.COM/CIPRESMUSICA;INSTAGRAM.COM/CIPRESMUSICA , CIPRES.BANDCAMP.COM;CIPRES EP (2013);HTTP://WWW.YOUTUBE.COM/WATCH?V=WQKL9X2Y_CA;HTTP://WWW.YOUTUBE.COM/WATCH?V=BHS9-MHOTSO , HTTP://WWW.YOUTUBE.COM/WATCH?V=6TGKV1SUT0I;COGHLAN;4
PATRICIO ARELLANO;POP ;POP ROCK;23/05/14;HTTPS://FACEBOOK.COM/ARELLANO.OFICIAL;HTTPS://TWITTER.COM/PATOARELLANO;INSTAGRAM.COM/PATRICIOARELLANO  , WWW.PATRICIOARELLANO.COM.AR;ROMEO (2014) , UN LEON (2011) , EL UNICO (2009);;;NUÑEZ;6
PURMA;ROCK ;GRUNGE;23/05/14;HTTPS://FACEBOOK.COM/PURMA;HTTPS://TWITTER.COM/PURMAROCK;HTTPS://SOUNDCLOUD.COM/PURMAROCK , HTTP://LOSPURMA.COM.AR/;AL DESIERTO (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=XDV1KB4JR4O , HTTPS://WWW.YOUTUBE.COM/WATCH?V=3Q6ZKBWRCHQ;HTTPS://WWW.YOUTUBE.COM/WATCH?V=OP3B530GN8Y , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MPDGGRK4WBI;VILLA DEL PARQUE;5
LA CADENCIA;ROCK ;ROCK ALTERNATIVO;23/05/14;;;WWW.SOUNDCLOUD.COM/LACADENCIA;;;HTTP://WWW.YOUTUBE.COM/WATCH?V=QLZDNS2HFSC;BOEDO;3
EXTRANATURAL;ROCK ;ROCK POP;23/05/14;;;HTTP://WWW.YOUTUBE.COM/CHANNEL/UC59VLGWC8RVIKZHSUIIUJYG , HTTP://WWW.YOUTUBE.COM/CHANNEL/UC59VLGWC8RVIKZHSUIIUJYG;;HTTP://WWW.YOUTUBE.COM/WATCH?V=Y0VM7XYYS1I , HTTP://WWW.YOUTUBE.COM/WATCH?V=FUARYGLS8FE;;LANUS;3
REFUGIO;ROCK ;ROCK POP;23/05/14;;;HTTPS://WWW.FACEBOOK.COM/PROFILE.PHP?ID=100004889406945&REF=TS&FREF=TS;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KFSMZUZMJHY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=Z-6JX7KFJMC;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IF7ZGWBJCQM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=35MDSL6A_1G;ZARATE;5
MERO;ROCK ;;23/05/14;HTTPS://FACEBOOK.COM/PAGES/MERO/154125734627367;HTTPS://TWITTER.COM/MEROMDQ;HTTPS://SOUNDCLOUD.COM/MEROMDQ , WWW.MERO.ME;;HTTP://WWW.YOUTUBE.COM/WATCH?V=KKZGMJSOCTM , HTTP://WWW.YOUTUBE.COM/WATCH?V=QSTDYGRRRYU;HTTP://WWW.YOUTUBE.COM/WATCH?V=CQCTFQCSGRC , HTTP://WWW.YOUTUBE.COM/WATCH?V=AQ44_GVQEGQ;MAR DEL PLATA;5
ANIMAS DE SOL;SKA / REGGAE ;;23/05/14;;;;;;HTTP://WWW.YOUTUBE.COM/WATCH?V=C9LVWU54NAK , HTTP://WWW.YOUTUBE.COM/WATCH?V=DK7GFWHD1PM;VALENTIN ALSINA;6
SABINA BELEN;SOLISTA ;ROCK POP;23/05/14;;HTTPS://TWITTER.COM/SABIBELENN;;CAPRICHOSA (2012);HTTP://WWW.YOUTUBE.COM/WATCH?V=N532IN8WIFQ , HTTP://WWW.YOUTUBE.COM/WATCH?V=OYYRWWKPHC0;HTTP://WWW.YOUTUBE.COM/WATCH?V=N532IN8WIFQ , HTTP://WWW.YOUTUBE.COM/WATCH?V=OYYRWWKPHC0;VERSALLES;5
LEANDRO ROUCO;SOLISTA ;;23/05/14;;;WWW.LEANDROROUCO.COM.AR;COSTADO (2009);;HTTP://WWW.YOUTUBE.COM/WATCH?V=PCG9DQ7PWD4&HD=1;VILLA RIACHUELO;1
FOBOS;INDIE ;;22/05/14;HTTPS://FACEBOOK.COM/PAGES/FOBOS/473959536041871;;HTTPS://FOBOS1.BANDCAMP.COM , HTTP://WWW.FOBOSROCK.COM.AR/;;HTTP://WWW.YOUTUBE.COM/WATCH?V=L1LAKNX3BVA;HTTP://WWW.YOUTUBE.COM/WATCH?V=AEBIWS5SZWS;RETIRO;2
POSTAL;POP ;POP ROCK;22/05/14;;HTTPS://TWITTER.COM/POSTALOK;HTTPS://TWITTER.COM/POSTALOK , HTTP://POSTALOK.BANDCAMP.COM/;EYECCION (2014) , LO QUE FUIMOS LA NOCHE ANTERIOR (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=CZGIXRCFPNG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FS3U00O6C-0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=GYJIDUKXJUA;ITUZAINGO;4
I.D;ROCK ;GRUNGE;22/05/14;HTTPS://FACEBOOK.COM/I.D.OFICIAL;;HTTPS://WWW.FACEBOOK.COM/IDOFICIAL/ , HTTPS://WWW.INSTAGRAM.COM/IDOFICIAL/ , HTTP://WWW.IDROCK.COM.AR/;I.D (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=YM1KV72GAZO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=YM1KV72GAZO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=NTVCPLERRNI&INDEX=1&LIST=PLE02715B754E01579;BARRACAS;4
ATZMUS;ROCK ;POWER TRIO;22/05/14;HTTPS://FACEBOOK.COM/ATZMUS;HTTPS://TWITTER.COM/ATZMUS;WWW.ATZMUS.COM;NO HAY MUNDO SIN AMOR (2013) , CIUDAD DE LUZ (2010);HTTP://YOUTU.BE/UKAN82PWKYY , HTTP://YOUTU.BE/CDQJ8B0GYVY;HTTP://YOUTU.BE/GYPZCVBSOFI , HTTP://YOUTU.BE/ZWIW_SEKXJC;ALMAGRO;4
DELIRANTE CIRCO ROCK;ROCK ;ROCK & ROLL;22/05/14;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=U0GF5ZRAGFO&HD=1;HURLINGHAM;4
HERALDO;ROCK ;;22/05/14;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=AGM5XEZCTN4;VERSALLES;5
RICHTER;POP;;21/05/14;;HTTPS://TWITTER.COM/RICHTERNET;WWW.RICHTERNET.NET;TRANSFORMADOR (2012) , FIN DEL MUNDO (2009) , DANZALLAMAS (2005) , PLANETAS PLANOS (2004) , EPICENTRO (2001);HTTPS://WWW.YOUTUBE.COM/WATCH?V=PUJ4QE5MJ9Q&LIST=PL3FDBE27CE21C0DC1&INDEX=4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=46VSVSW0ZII&LIST=PL3FDBE27CE21C0DC1 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WFEJNYX2AVG&INDEX=2&LIST=PL3FDBE27CE21C0DC1;AGRONOMIA;5
FREDY TESLA;ROCK ;HARD ROCK;21/05/14;HTTPS://FACEBOOK.COM/FREDYTESLA;HTTPS://TWITTER.COM/FREDYTESLA;HTTPS://SOUNDCLOUD.COM/FREDYTESLA , HTTP://WWW.FREDYTESLA.COM/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JN-XYFQDCWU;HTTPS://WWW.YOUTUBE.COM/WATCH?V=EKPGISHPBCS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=BMYNRD9VJCU;AGRONOMIA;4
INMIGRANTES;ROCK ;ROCK ALTERNATIVO;21/05/14;HTTPS://FACEBOOK.COM/INMIGRANTES.MUSICA;HTTPS://TWITTER.COM/2INMIGRANTES;HTTPS://WWW.FACEBOOK.COM/INMIGRANTES.MUSICA , WWW.INMIGRANTESMUSICA.NET;SURPLUS (2013) , TURISTAS EN EL PARAISO (2007);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DEAP8JPXAG0;NUÑEZ;5
BLUES DE LOS PLOMOS (ROCKUMENTAL);ROCK ;;21/05/14;;;HTTP://BLUESDELOSPLOMOS.BLOGSPOT.COM.AR/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6OILLSQ19SU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=3EMYMYVUUTY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=X_XENX-F_F8;CABA;2
MONJES FUNK;FUNK ;;20/05/14;;HTTPS://TWITTER.COM/MONJESFUNK;HTTP://WWW.YOUTUBE.COM/MONJESEMPORIOFUNK , HTTP://WWW.MONJES.COM.AR/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=3T5J02YUTLY;NUÑEZ;1
LA HORA DE AL LADO;POP ;POP ROCK;20/05/14;;HTTPS://TWITTER.COM/LAHORADEALLADO;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IXR_GA2NTRS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=LI87K5ZEG6I;HTTPS://WWW.YOUTUBE.COM/WATCH?V=AY8NSNTFZ6G&FEATURE=YOUTU.BE;LLAVALLOL;2
LA MEZZKLA;POP ;POP ROCK;20/05/14;;HTTPS://TWITTER.COM/LAMEZZKLA;HTTP://WWW.LAMEZZKLA.COM/HOME.HTML;ATRACCION (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=EIPFAL7RTFO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZHRLEZC2F0I , HTTPS://WWW.YOUTUBE.COM/WATCH?V=SSUUHTA4MMI;NUÑEZ;4
PASAJE INCIERTO;ROCK ;GRUNGE;20/05/14;;;HTTP://WWW.YOUTUBE.COM/USER/PASAJEINCIERTO;;HTTP://YOUTU.BE/1IPVWIF8SWK , HTTP://YOUTU.BE/C1PDBPW_AHG;HTTP://YOUTU.BE/SHHP3JEIXQE , HTTP://YOUTU.BE/Y5C5QI5Y0QM;CABALLITO;3
BEATNIK;ROCK ;ROCK ALTERNATIVO;20/05/14;HTTPS://FACEBOOK.COM/BEATNIKROCK;HTTPS://TWITTER.COM/BEATNIKOFICIAL;HTTPS://SOUNDCLOUD.COM/BEATNIKROCK , HTTP://BEATNIKROCK.WIX.COM/BEATNIKOFICIAL;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=HU6PBASBOCW;HTTPS://WWW.YOUTUBE.COM/WATCH?V=_EAJE37B1LG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MVNXYZZ3BQI;BALVANERA;5
OJO DE PEZ;ROCK ;ROCK ALTERNATIVO;20/05/14;HTTPS://FACEBOOK.COM/OJO.DEPEZ.923;;WWW.YOUTUBE.COM/OJODEPEZMUSICA;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZKHUQWAFADK&LIST=UUQBR-P-I27OYN6XKLR7SJXG;MONTE CASTRO;4
LACANDONA SOCIAL SOUND;SKA / REGGAE ;;20/05/14;HTTPS://FACEBOOK.COM/LACANDONAMUSIC;HTTPS://TWITTER.COM/LACANDONAMUSIC;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KD_8ZTGAFCK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=BH_XGL14AYE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KD_8ZTGAFCK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=BH_XGL14AYE;VILLA LURO;6
OLIVIA HOUSSAY JUNTO AL CUARTETO NO TIPICO DE CUERDAS;TANGO;;20/05/14;HTTPS://FACEBOOK.COM/OLIVIAHOUSSAY;;HTTP://HISTORIASDETANGO.BANDCAMP.COM;HISTORIAS DE TANGO (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=A17HZBR0HY8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=-LEHRJ5T0U8;HTTPS://WWW.YOUTUBE.COM/WATCH?V=P42MMNOL1GG;NUÑEZ;5
WAYRAPAMPA;FOLKLORE ;;19/05/14;HTTPS://FACEBOOK.COM/WAYRAPAMPA;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=W6JQ-JPTHRA;CABALLITO;6
SEGAR;ROCK ;HARD ROCK;19/05/14;;HTTPS://TWITTER.COM/SEGARMETAL;WWW.SEGARMETAL.COM.AR;COMIENZO DE UNA CONQUISTA (2013);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=W_1KLU7VKMA;MERLO;4
LOS DIPUTADOS;ROCK ;;19/05/14;;;HTTPS://SOUNDCLOUD.COM/LOSDIPUTADOSTRENTROPICO/ , HTTP://WWW.TRENTROPICO.COM.AR;TREN TROPICO (2012);;HTTP://WWW.YOUTUBE.COM/WATCH?V=IXVMVADLISI , HTTP://WWW.YOUTUBE.COM/WATCH?V=BXQ-408VBBM;CABALLITO / SAN NICOLAS / PARQUE CHACABUCO;5
S.O.P.A:;ROCK ;;19/05/14;HTTPS://FACEBOOK.COM/SOPA.ROCK.7;HTTPS://TWITTER.COM/SOPABANDA;HTTP://WWW.SOPABANDA.COM.AR/;SABANAS OSCURAS PECADOS ARGENTINOS (2011);HTTP://WWW.YOUTUBE.COM/WATCH?V=KQ1B6KVZVUY , HTTP://WWW.YOUTUBE.COM/WATCH?V=ZWX1VIEPC0I;HTTP://WWW.YOUTUBE.COM/WATCH?V=N3FIL3JYDXU;FLORES;5
JUGUETE RUIDOSO;INDIE ;;18/05/14;;HTTPS://TWITTER.COM/JUGUETERUIDOSO;HTTPS://WWW.FACEBOOK.COM/PAGES/JUGUETERUIDOSO/283682333016;JUGUETE RUIDOSO (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZISGLNDGNP0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=VWEZH6WSOFC;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MTTZECMJNJ4 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=YHGTTEHIAYE;BOEDO;5
CHE LAGARTO;ROCK ;ROCK ALTERNATIVO;18/05/14;HTTPS://FACEBOOK.COM/CHELAGARTOO;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=3DX3T8RHUTI;VILLA PUEYRREDON;5
FACE CREAM;ROCK ;ROCK ALTERNATIVO;18/05/14;HTTPS://FACEBOOK.COM/FACECREAM;HTTPS://TWITTER.COM/FACECREAMBAND;WWW.FACECREAM.COM.AR;FLORIDA (2013) , UVULA (2010);HTTP://WWW.YOUTUBE.COM/WATCH?V=S60HMXN1UXK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HMR1P744YVS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GEZH5NSVDAO;LA PLATA;5
BACKLASH;ROCK ;;18/05/14;;HTTPS://TWITTER.COM/BACKLASHROCKON;WWW.BACKLASHROCK.COM.AR;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=0PNZRSAOUUE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WOJVRUIZROQ;BOEDO;4
DELTA MEJANA;ROCK ;;18/05/14;;;HTTP://DELTAMEJANA.BANDCAMP.COM/;LEJOS DEL MIEDO (2011) , SOBRIO Y NATURAL (2007);HTTP://WWW.YOUTUBE.COM/WATCH?V=4WGFDMWGRMI;HTTP://WWW.YOUTUBE.COM/WATCH?V=PJNBNAQGK0S;LA PLATA;4
